Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
242,317,103,2,2.5,2.0,8.15,0,0.65
334,319,108,3,3.0,3.5,8.54,1,0.71
4,322,110,3,3.5,2.5,8.67,1,0.8
45,326,113,5,4.5,4.0,9.4,1,0.91
232,319,106,3,3.5,2.5,8.33,1,0.74
167,302,102,3,3.5,5.0,8.33,0,0.65
166,322,110,5,4.5,4.0,8.97,0,0.78
196,307,107,2,3.0,3.5,8.52,1,0.78
147,315,105,3,2.0,2.5,8.48,0,0.75
389,296,97,2,1.5,2.0,7.8,0,0.49
282,317,110,3,4.0,4.5,9.11,1,0.8
426,323,111,5,4.0,5.0,9.86,1,0.92
478,309,105,4,3.5,2.0,8.18,0,0.65
374,321,109,3,3.0,3.0,8.54,1,0.79
214,333,119,5,5.0,4.5,9.78,1,0.96
90,316,109,4,4.5,3.5,8.76,1,0.74
142,332,118,2,4.5,3.5,9.36,1,0.9
258,324,100,3,4.0,5.0,8.64,1,0.78
406,302,99,3,2.5,3.0,7.45,0,0.52
457,299,100,2,2.0,2.0,7.88,0,0.51
317,298,101,2,1.5,2.0,7.86,0,0.54
294,312,98,1,3.5,3.0,8.18,1,0.64
162,298,99,1,1.5,3.0,7.46,0,0.53
8,308,101,2,3.0,4.0,7.9,0,0.68
500,327,113,4,4.5,4.5,9.04,0,0.84
274,312,99,1,1.0,1.5,8.01,1,0.52
11,325,106,3,3.5,4.0,8.4,1,0.52
455,310,105,2,3.0,3.5,8.01,0,0.71
35,331,112,5,4.0,5.0,9.8,1,0.94
143,331,115,5,4.0,3.5,9.44,1,0.92
422,321,112,3,3.0,4.5,8.95,1,0.77
159,306,106,2,2.0,2.5,8.14,0,0.61
163,318,109,3,3.0,3.0,8.5,0,0.67
357,327,109,3,3.5,4.0,8.77,1,0.79
289,314,104,4,5.0,5.0,9.02,0,0.82
375,315,105,2,2.0,2.5,7.65,0,0.39
241,296,101,1,2.5,3.0,7.68,0,0.6
78,301,99,2,3.0,2.0,8.22,0,0.64
486,311,101,2,2.5,3.5,8.34,1,0.7
102,312,105,2,2.5,3.0,8.12,0,0.64
27,322,109,5,4.5,3.5,8.8,0,0.76
254,335,115,4,4.5,4.5,9.68,1,0.93
81,312,105,3,2.0,3.0,8.02,1,0.5
484,304,103,5,5.0,3.0,7.92,0,0.71
435,306,103,3,3.5,3.0,8.21,0,0.64
93,298,98,2,4.0,3.0,8.03,0,0.34
204,334,120,5,4.0,5.0,9.87,1,0.97
442,332,112,1,1.5,3.0,8.66,1,0.79
182,305,107,2,2.5,2.5,8.42,0,0.71
2,324,107,4,4.0,4.5,8.87,1,0.76
169,293,97,2,2.0,4.0,7.8,1,0.64
227,306,110,2,3.5,4.0,8.45,0,0.63
430,340,115,5,5.0,4.5,9.06,1,0.95
